Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	1820.27253236	448.126617718	1154.48624863	2631.04994269	-31.5210386326	26.4485843643	-63.2355478032	17.3079790662
1	-281.672663572	48.5791226387	-389.994453323	-222.595881548	307.574723895	31.4760190561	256.967312865	379.193957496
2	-875.734254882	44.590596687	-970.672025293	-797.997409275	738.729754068	31.0039271099	711.983280407	797.587099813
3	-940.079864434	86.83138265	-1029.19365899	-745.061339194	814.24422028	65.7518256281	701.701456076	903.678201777
4	-1076.63739132	83.3602181917	-1217.03920915	-921.15312766	937.339435027	76.4649344595	776.644759568	1046.9441714
5	-1216.74540942	53.9446685307	-1295.44266551	-1125.06333711	1055.4427062	44.2888488999	978.144722872	1112.0670795
6	-1249.42305407	81.3323891604	-1369.49714321	-1127.62649752	1095.99073019	73.2319845448	956.568202678	1207.53135299
7	-1320.29990409	43.4147271363	-1371.42285606	-1236.85887968	1144.21306733	34.1706528446	1086.0493519	1174.14262543
8	-1365.64590434	66.5220611676	-1471.79381589	-1228.34941356	1191.75660994	52.1977183244	1107.49552225	1267.57398993
9	-1381.8617276	81.2244254074	-1501.05613296	-1234.34142469	1216.69375167	72.1369526002	1094.50180647	1316.53595714
10	-1436.85105603	53.4397634526	-1504.98888129	-1311.65514921	1262.60020538	59.9943155857	1127.12984593	1344.3398761
11	-1519.32688253	57.3380499857	-1605.24944366	-1435.12931686	1341.10196994	55.4631752253	1262.51815663	1417.87284648
12	-1434.80965948	87.4494168425	-1567.7473768	-1306.97756962	1268.21058913	71.7989855731	1149.75941972	1370.25021813
13	-1404.01380973	64.7120825668	-1552.01833069	-1332.21199991	1217.85280227	66.4646286062	1152.188481	1351.32933818
14	-1429.53814149	62.3080775762	-1506.25244636	-1301.24741298	1253.79639866	57.7904805243	1111.75646562	1321.35211302
